"stopid";"next_bus";"location_platform";"location_stop";"stop_name";"next_route"
-9;1;0;0;"船建学院";"LINESTRING (121.445256050270004 31.034049361689998,121.445402250270007 31.033990662650002,121.445476550270001 31.0339574632,121.445531550270005 31.0339328636,121.445745850270001 31.0338289653,121.445871250270002 31.033750466579999,121.446370350270001 31.033438271689999,121.446802650270001 31.0330650778,121.446891450270002 31.032988479050001,121.447297650270002 31.032499287059998,121.447373750270003 31.03238448894)"
-8;1;0;0;"文选医学楼";"LINESTRING (121.442693750269996 31.034430655449999,121.443177150270003 31.034458954990001,121.443432950269994 31.03444885515,121.443509150270003 31.034449055149999,121.443981350269993 31.03443665535,121.444306350269997 31.034365556520001,121.444584550269994 31.03429285771,121.444976450270005 31.034149260060001,121.445109850270001 31.034107960730001,121.445256050270004 31.034049361689998)"
-7;1;0;0;"学生服务中心";"LINESTRING (121.433635250270001 31.031579902099999,121.434729350270004 31.031932696329999,121.434901650270007 31.031987695430001,121.435010550269993 31.032022494860001,121.435093050269998 31.032048794430001,121.436419750270005 31.032472287499999,121.436636650270003 31.032541586360001,121.436830850269999 31.03260358535,121.437905750270005 31.03294667974,121.438092050270001 31.033006178760001,121.438092050270001 31.033006178760001,121.438367150269997 31.033093477329999,121.438367150269997 31.033093477329999,121.438502450269993 31.03313697662,121.438572350269993 31.033159376259999,121.440994450269997 31.033937963509999,121.44220705027 31.034327757140002,121.442319450270006 31.034363856540001,121.442319450270006 31.034363856540001,121.442423750269995 31.034394556039999,121.44255915027 31.034420555619999,121.442693750269996 31.034430655449999)"
-6;1;0;0;"西区学生宿舍";"LINESTRING (121.429930550270001 31.030385121649999,121.430770450270003 31.03065601722,121.433309350269994 31.03147480382,121.433407850270001 31.031506603299999,121.433476050270002 31.03152860294,121.433635250270001 31.031579902099999)"
-5;1;0;0;"第四餐饮大楼";"LINESTRING (121.42729655027 31.02862995037,121.427133850269996 31.029009044169999,121.426986950270006 31.029351238570001,121.426955050269996 31.029425537350001,121.426955050269996 31.029425537350001,121.427047650269998 31.02945533686,121.427688150270001 31.029659033529999,121.429523850270002 31.0302539238,121.429588550269997 31.030274823460001,121.429930550270001 31.030385121649999)"
-4;1;0;0;"华联校园生活中心";"LINESTRING (121.430864650269996 31.028258656439998,121.430744050269993 31.02853245196,121.430574250269999 31.028917945660002,121.430574250269999 31.028917945660002,121.429762550269999 31.028651750009999,121.429026750269998 31.028411253950001,121.428492050269995 31.028232456870001,121.428366650269993 31.028192257530002,121.428344450270004 31.02818485765,121.427643750269993 31.027960361320002,121.427591050269996 31.0279434616,121.427591050269996 31.0279434616,121.427459150269996 31.028250756569999,121.42729655027 31.02862995037)"
-3;1;0;0;"包玉刚图书馆";"LINESTRING (121.431493550270005 31.02632438809,121.431585450270006 31.02635668756,121.431585450270006 31.02635668756,121.431568350269998 31.026436386259999,121.431568350269998 31.026436386259999,121.431499050270006 31.026557284279999,121.431499050270006 31.026557284279999,121.431489450270007 31.026652682720002,121.431489450270007 31.026652682720002,121.43133805027 31.02698727724,121.431287750270002 31.027092575520001,121.431155550270006 31.027369171,121.431108650270005 31.027467869380001,121.431077050270005 31.027533568310002,121.430922350269995 31.027857563009999,121.430994750270003 31.027963161279999,121.430994750270003 31.027963161279999,121.430864650269996 31.028258656439998)"
-2;1;0;0;"材料学院";"LINESTRING (121.428651150269999 31.025096508179999,121.428521150270001 31.025322404480001,121.428521150270001 31.025322404480001,121.428623350270001 31.025407303089999,121.428791350270004 31.025461002219998,121.429643050270002 31.025734197750001,121.429849450269998 31.02579909668,121.430472950270001 31.02599829343,121.431077050270005 31.026191290269999,121.431493550270005 31.02632438809)"
-1;1;0;0;"菁菁堂广场";"LINESTRING (121.430945150270006 31.022136656600001,121.430898650269995 31.022122056840001,121.430363150269997 31.021964559410002,121.430363150269997 31.021964559410002,121.430323350270001 31.022058357879999,121.430179850269994 31.022362452909999,121.430100350269996 31.022583949280001,121.429934050270006 31.022975942870001,121.429867650269998 31.023098540860001,121.429761750270004 31.023294037669999,121.429655150269994 31.02349073445,121.429340950270003 31.02397922646,121.429228650270005 31.0241539236,121.428996450270006 31.02451501769,121.428894950270006 31.024672815110002,121.428651150269999 31.025096508179999)"
1;1;0;0;"菁菁堂广场";"LINESTRING (121.430945150270006 31.022136656600001,121.430991550269994 31.022151256360001,121.431133850270001 31.022196055630001,121.431169750270001 31.022207355439999,121.431463850270006 31.022303753869998,121.431622150270002 31.02238415255,121.431738350269995 31.022464851230001,121.431738350269995 31.022464851230001,121.432037150270006 31.022601149,121.432240850270006 31.022672447830001,121.432478450269997 31.022722147020001,121.432827150270001 31.02280494567,121.43328315027 31.022910643940001,121.433651450270006 31.022997642509999,121.433789750269995 31.02302514206)"
